,psi1,lam1,r,r0,alpha,rep
91,0.664,0.7,0.5,3.0,1.1142061281337048,2.0
92,0.85,0.7,0.4008918628686366,3.0,1.0025062656641603,2.0
93,0.85,0.7,0.5,3.7416573867739413,0.9411764705882353,2.0
94,0.85,0.8071428571428572,0.5,3.0,0.9324009324009324,2.0
95,0.7666666666666666,0.7,0.5,3.0,0.9975062344139651,2.0
96,0.85,0.7,0.4677071733467426,3.0,0.8791208791208791,2.0
97,0.85,0.7,0.5,3.2071349029490928,0.8456659619450317,2.0
98,0.85,0.7375,0.5,3.0,0.8385744234800838,2.0
99,0.8285714285714285,0.7,0.5,3.0,0.8492569002123143,2.0
100,0.85,0.7,0.5345224838248488,3.0,0.8350730688935282,2.0
101,0.85,0.7,0.5,2.8062430400804566,0.8385744234800838,2.0
102,0.85,0.657142857142857,0.5,3.0,0.8639308855291576,2.0
103,0.86875,0.7,0.5,3.0,0.8281573498964804,2.0
104,0.85,0.7,0.6013377943029549,3.0,0.7677543186180422,2.0
105,0.85,0.7,0.5,2.4944382578492945,0.6980802792321117,2.0
106,0.85,0.5660714285714286,0.5,3.0,0.7677543186180422,2.0
107,0.8962962962962963,0.7,0.5,3.0,0.7532956685499058,2.0
108,0.85,0.7,0.6681531047810609,3.0,0.7054673721340388,2.0
109,0.85,0.7,0.5,2.244994432064365,0.6861063464837049,2.0
110,0.85,0.4642857142857143,0.5,3.0,0.7005253940455342,2.0
111,0.916,0.7,0.5,3.0,0.6791171477079796,2.0
112,0.85,0.7,0.7349684152591671,3.0,0.631911532385466,2.0
113,0.85,0.7,0.5,2.0409040291494227,0.6379585326953748,2.0
114,0.85,0.35178571428571415,0.5,3.0,0.6201550387596899,2.0
115,0.9305785123966942,0.7,0.5,3.0,0.6504065040650406,2.0
116,0.85,0.7,0.8017837257372732,3.0,0.6259780907668232,2.0
117,0.85,0.7,0.5,1.8708286933869707,0.5722460658082976,2.0
118,0.85,0.22857142857142854,0.5,3.0,0.5979073243647235,2.0
119,0.9416666666666667,0.7,0.5,3.0,0.5997001499250375,2.0
120,0.85,0.7,0.2004459314343183,3.0,1.3745704467353952,3.0
121,0.85,0.7,0.5,7.483314773547883,1.3745704467353952,3.0
122,0.85,0.9517857142857142,0.5,3.0,1.4035087719298245,3.0
123,0.06666666666666654,0.7,0.5,3.0,1.4134275618374559,3.0
124,0.85,0.7,0.2672612419124244,3.0,1.1527377521613833,3.0
125,0.85,0.7,0.5,5.612486080160913,1.1527377521613833,3.0
126,0.85,0.9142857142857143,0.5,3.0,1.1396011396011396,3.0
127,0.475,0.7,0.5,3.0,1.21580547112462,3.0
128,0.85,0.7,0.33407655239053047,3.0,1.1396011396011396,3.0
129,0.85,0.7,0.5,4.48998886412873,1.1204481792717087,3.0
130,0.85,0.8660714285714286,0.5,3.0,1.1661807580174928,3.0
131,0.664,0.7,0.5,3.0,1.0443864229765014,3.0
132,0.85,0.7,0.4008918628686366,3.0,0.9456264775413712,3.0
133,0.85,0.7,0.5,3.7416573867739413,1.084010840108401,3.0
134,0.85,0.8071428571428572,0.5,3.0,0.9411764705882353,3.0
135,0.7666666666666666,0.7,0.5,3.0,0.8830022075055187,3.0
136,0.85,0.7,0.4677071733467426,3.0,1.0554089709762533,3.0
137,0.85,0.7,0.5,3.2071349029490928,0.9070294784580499,3.0
138,0.85,0.7375,0.5,3.0,0.936768149882904,3.0
139,0.8285714285714285,0.7,0.5,3.0,0.89086859688196,3.0
140,0.85,0.7,0.5345224838248488,3.0,0.8016032064128257,3.0
141,0.85,0.7,0.5,2.8062430400804566,0.8421052631578947,3.0
142,0.85,0.657142857142857,0.5,3.0,0.8247422680412371,3.0
143,0.86875,0.7,0.5,3.0,0.7648183556405354,3.0
144,0.85,0.7,0.6013377943029549,3.0,0.8456659619450317,3.0
145,0.85,0.7,0.5,2.4944382578492945,0.70298769771529,3.0
146,0.85,0.5660714285714286,0.5,3.0,0.7104795737122558,3.0
147,0.8962962962962963,0.7,0.5,3.0,0.7677543186180422,3.0
148,0.85,0.7,0.6681531047810609,3.0,0.6611570247933884,3.0
149,0.85,0.7,0.5,2.244994432064365,0.7104795737122558,3.0
150,0.85,0.4642857142857143,0.5,3.0,0.7054673721340388,3.0
151,0.916,0.7,0.5,3.0,0.7677543186180422,3.0
152,0.85,0.7,0.7349684152591671,3.0,0.6359300476947536,3.0
153,0.85,0.7,0.5,2.0409040291494227,0.62402496099844,3.0
154,0.85,0.35178571428571415,0.5,3.0,0.6379585326953748,3.0
155,0.9305785123966942,0.7,0.5,3.0,0.6504065040650406,3.0
156,0.85,0.7,0.8017837257372732,3.0,0.6259780907668232,3.0
157,0.85,0.7,0.5,1.8708286933869707,0.6051437216338881,3.0
158,0.85,0.22857142857142854,0.5,3.0,0.6568144499178982,3.0
159,0.9416666666666667,0.7,0.5,3.0,0.5891016200294551,3.0
160,0.85,0.7,0.2004459314343183,3.0,1.3559322033898304,4.0
161,0.85,0.7,0.5,7.483314773547883,1.4035087719298245,4.0
162,0.85,0.9517857142857142,0.5,3.0,1.2861736334405145,4.0
163,0.06666666666666654,0.7,0.5,3.0,1.3114754098360655,4.0
164,0.85,0.7,0.2672612419124244,3.0,1.1799410029498525,4.0
165,0.85,0.7,0.5,5.612486080160913,1.2461059190031152,4.0
166,0.85,0.9142857142857143,0.5,3.0,1.13314447592068,4.0
167,0.475,0.7,0.5,3.0,1.1940298507462686,4.0
168,0.85,0.7,0.33407655239053047,3.0,1.1204481792717087,4.0
169,0.85,0.7,0.5,4.48998886412873,1.0723860589812333,4.0
170,0.85,0.8660714285714286,0.5,3.0,1.1396011396011396,4.0
171,0.664,0.7,0.5,3.0,1.0498687664041995,4.0
172,0.85,0.7,0.4008918628686366,3.0,1.0554089709762533,4.0
173,0.85,0.7,0.5,3.7416573867739413,0.9925558312655087,4.0
174,0.85,0.8071428571428572,0.5,3.0,1.0554089709762533,4.0
175,0.7666666666666666,0.7,0.5,3.0,0.9592326139088729,4.0
